Класс: 8в
Название работы: Контрольная работа 5
Дата работы: 30.06.2025

Аиша Муратова  -  отсутствовал(а)
Александра Беляева:    53
Алина Большакова:    53
Анна Герасимова:    53
Владимир Еремин:    53
Григорий Басов:    53
Даниил Иванов:    53
Даниил Кондратов:    53
Дарья Королева:    53
Ева Никонова:    53
Елизавета Федорова:    53
Кира Воробьева:    53
Ксения Максимова:    53
Ксения Никифорова:    53
Лев Калинин:    53
Леонид Назаров:    53
Максим Евдокимов:    53
Максим Кузнецов:    53
Мария Белова:    53
Мария Соколова:    53
Марьям Лебедева:    53
Милана Литвинова:    53
Мирослава Савельева:    53
Михаил Смирнов:    53
Таисия Сергеева:    53
Тимур Аксенов:    53
Фёдор Филатов:    53
Фёдор Яковлев:    53
